,model,condition,critical,surprisal
0,distilgpt2,LowContext, now,5.211232662200928
1,gpt2-medium,LowContext, now,
2,mBERT,LowContext, now,7.548436641693115
3,XLM-R,LowContext, now,7.645294666290283
4,distilgpt2,HighContext, chilly,7.037805557250977
5,gpt2-medium,HighContext, chilly,
6,mBERT,HighContext, chilly,11.797233581542969
7,XLM-R,HighContext, chilly,8.437692642211914
8,distilgpt2,LowContext, errors,5.033019542694092
9,gpt2-medium,LowContext, errors,
10,mBERT,LowContext, errors,7.563609600067139
11,XLM-R,LowContext, errors,9.679484367370605
12,distilgpt2,HighContext, review,5.272830009460449
13,gpt2-medium,HighContext, review,
14,mBERT,HighContext, review,6.531208038330078
15,XLM-R,HighContext, review,3.589491605758667
16,distilgpt2,LowContext, Friday,3.0531582832336426
17,gpt2-medium,LowContext, Friday,
18,mBERT,LowContext, Friday,4.026219367980957
19,XLM-R,LowContext, Friday,4.080214500427246
20,distilgpt2,HighContext, difficult,5.223040580749512
21,gpt2-medium,HighContext, difficult,
22,mBERT,HighContext, difficult,11.261123657226562
23,XLM-R,HighContext, difficult,7.377439498901367
24,distilgpt2,LowContext, expensive,4.1273298263549805
25,gpt2-medium,LowContext, expensive,
26,mBERT,LowContext, expensive,9.933959007263184
27,XLM-R,LowContext, expensive,4.271572113037109
28,distilgpt2,HighContext, options,2.103886842727661
29,gpt2-medium,HighContext, options,
30,mBERT,HighContext, options,5.325252056121826
31,XLM-R,HighContext, options,1.9059991836547852
32,distilgpt2,LowContext, 5 PM,6.279968738555908
33,gpt2-medium,LowContext, 5 PM,
34,mBERT,LowContext, 5 PM,9.152892112731934
35,XLM-R,LowContext, 5 PM,10.060981750488281
36,distilgpt2,HighContext, day,2.4112586975097656
37,gpt2-medium,HighContext, day,
38,mBERT,HighContext, day,6.407956600189209
39,XLM-R,HighContext, day,3.8913283348083496
40,distilgpt2,LowContext, address,1.4245012998580933
41,gpt2-medium,LowContext, address,
42,mBERT,LowContext, address,8.605353355407715
43,XLM-R,LowContext, address,0.36409705877304077
44,distilgpt2,HighContext, address,2.9281158447265625
45,gpt2-medium,HighContext, address,
46,mBERT,HighContext, address,5.652302265167236
47,XLM-R,HighContext, address,0.46185746788978577
48,distilgpt2,LowContext, loudly,4.292820930480957
49,gpt2-medium,LowContext, loudly,
50,mBERT,LowContext, loudly,9.859615643819174
51,XLM-R,LowContext, loudly,10.162768681844076
52,distilgpt2,HighContext, concentrate,6.188131332397461
53,gpt2-medium,HighContext, concentrate,
54,mBERT,HighContext, concentrate,11.932757059733072
55,XLM-R,HighContext, concentrate,10.502217292785645
56,distilgpt2,LowContext, cold,6.855102062225342
57,gpt2-medium,LowContext, cold,
58,mBERT,LowContext, cold,5.928590774536133
59,XLM-R,LowContext, cold,7.904159069061279
60,distilgpt2,HighContext, expected,2.1504645347595215
61,gpt2-medium,HighContext, expected,
62,mBERT,HighContext, expected,10.074007034301758
63,XLM-R,HighContext, expected,3.6139345169067383
64,distilgpt2,LowContext, leaving,6.446815490722656
65,gpt2-medium,LowContext, leaving,
66,mBERT,LowContext, leaving,10.677643775939941
67,XLM-R,LowContext, leaving,6.527805328369141
68,distilgpt2,HighContext, going,7.527115821838379
69,gpt2-medium,HighContext, going,
70,mBERT,HighContext, going,5.920963764190674
71,XLM-R,HighContext, going,6.041444778442383
72,distilgpt2,LowContext, pen,7.61370849609375
73,gpt2-medium,LowContext, pen,
74,mBERT,LowContext, pen,9.985430717468262
75,XLM-R,LowContext, pen,8.727638244628906
76,distilgpt2,HighContext, pen,7.266895294189453
77,gpt2-medium,HighContext, pen,
78,mBERT,HighContext, pen,8.852940559387207
79,XLM-R,HighContext, pen,5.598406791687012
